5O5
wind speed,0,6,8,10,12,14,16,20
beat angles,44,44,46.5,50,52,54,55,56
beat sog,0,5,5.3,5.6,6,6.5,7,7
0,0,0,0,0,0,0,0,0
35,1,1,1,1,1,1,1,1
90,0,5.25,5.57,5.88,6.3,6.83,7.35,7.35
180,0,2.5,3.35,4.25,5,5.75,6.5,7.5
jibe sog,0,5,5.3,5.6,6,6.5,7,7
jibe angles,141,141,141,139.5,137.5,139.5,142.5,150
