wind velocity,0,6,8,10,12,14,16,20
beat angles,43,43,43,43,44,45,45.6,47
beat sog,0,4.5,6.25,8,8.5,9,9.3,10
0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0
90,0,4.73,6.56,8.4,8.93,9.45,9.77,10.5
180,0,2.84,3.94,5.04,5.36,5.67,5.86,6.3
run sog,0,8,11,14,15,16,17,19
gybe angles,135,135,140,145,150,155,157,160
